"start_time","end_time","o3","flag_o3","o3std","flag_o3std","jd","day","time.dec","time","hour","min","date"
4.333333,4.375,35.6,0,0.5,0,4,2018-01-05,0.333333,480.009519999999,8,0,2018-01-05 08:00:00
4.375,4.416667,36.1,0,1,0,4,2018-01-05,0.375,540.01,9,0,2018-01-05 09:00:00
4.416667,4.458333,36.6,0,0.6,0,4,2018-01-05,0.416667,600.01048,10,0,2018-01-05 10:00:00
4.458333,4.5,36.2,0,0.8,0,4,2018-01-05,0.458333,660.009519999999,11,0,2018-01-05 11:00:00
4.5,4.541667,36.9,0,0.4,0,4,2018-01-05,0.5,720.01,12,0,2018-01-05 12:00:00
4.541667,4.583333,36.1,0,0.6,0,4,2018-01-05,0.541667,780.01048,13,0,2018-01-05 13:00:00
4.583333,4.625,36.2,0,0.7,0,4,2018-01-05,0.583333,840.009519999999,14,0,2018-01-05 14:00:00
4.625,4.666667,37.5,0,0.8,0,4,2018-01-05,0.625,900.01,15,0,2018-01-05 15:00:00
4.666667,4.708333,37,0,1.1,0,4,2018-01-05,0.666667,960.01048,16,0,2018-01-05 16:00:00
4.708333,4.75,36.9,0,1.2,0,4,2018-01-05,0.708333,1020.00952,17,0,2018-01-05 17:00:00
4.75,4.791667,37.9,0,0.6,0,4,2018-01-05,0.75,1080.01,18,0,2018-01-05 18:00:00
4.791667,4.833333,37.9,0,0.5,0,4,2018-01-05,0.791667,1140.01048,19,0,2018-01-05 19:00:00
4.833333,4.875,37.7,0,0.6,0,4,2018-01-05,0.833333,1200.00952,20,0,2018-01-05 20:00:00
4.875,4.916667,37.8,0,0.4,0,4,2018-01-05,0.875,1260.01,21,0,2018-01-05 21:00:00
4.916667,4.958333,36.5,0,1,0,4,2018-01-05,0.916667,1320.01048,22,0,2018-01-05 22:00:00
4.958333,5,34.5,0,0.3,0,4,2018-01-05,0.958333,1380.00952,23,0,2018-01-05 23:00:00
5,5.041667,34.2,0,0.4,0,5,2018-01-06,0,0.01,0,0,2018-01-06 00:00:00
5.041667,5.083333,34.3,0,0.4,0,5,2018-01-06,0.0416670000000003,60.0104800000005,1,0,2018-01-06 01:00:00
5.083333,5.125,34.1,0,0.6,0,5,2018-01-06,0.0833329999999997,120.00952,2,0,2018-01-06 02:00:00
5.125,5.166667,34.1,0,0.5,0,5,2018-01-06,0.125,180.01,3,0,2018-01-06 03:00:00
5.166667,5.208333,33.6,0,0.4,0,5,2018-01-06,0.166667,240.01048,4,0,2018-01-06 04:00:00
5.208333,5.25,34.7,0,0.4,0,5,2018-01-06,0.208333,300.009519999999,5,0,2018-01-06 05:00:00
5.25,5.291667,35.4,0,0.6,0,5,2018-01-06,0.25,360.01,6,0,2018-01-06 06:00:00
5.291667,5.333333,35.3,0,0.5,0,5,2018-01-06,0.291667,420.01048,7,0,2018-01-06 07:00:00
5.333333,5.375,37.4,0.39,6.2,0.39,5,2018-01-06,0.333333,480.009519999999,8,0,2018-01-06 08:00:00
5.375,5.416667,35.1,0,0.9,0,5,2018-01-06,0.375,540.01,9,0,2018-01-06 09:00:00
5.416667,5.458333,34.9,0,0.7,0,5,2018-01-06,0.416667,600.01048,10,0,2018-01-06 10:00:00
5.458333,5.5,34.2,0,0.5,0,5,2018-01-06,0.458333,660.009519999999,11,0,2018-01-06 11:00:00
5.5,5.541667,34.8,0,1.1,0,5,2018-01-06,0.5,720.01,12,0,2018-01-06 12:00:00
5.541667,5.583333,35.8,0,0.7,0,5,2018-01-06,0.541667,780.01048,13,0,2018-01-06 13:00:00
5.583333,5.625,36.3,0,0.4,0,5,2018-01-06,0.583333,840.009519999999,14,0,2018-01-06 14:00:00
5.625,5.666667,36,0,0.5,0,5,2018-01-06,0.625,900.01,15,0,2018-01-06 15:00:00
5.666667,5.708333,36.7,0,0.5,0,5,2018-01-06,0.666667,960.01048,16,0,2018-01-06 16:00:00
5.708333,5.75,36.1,0,0.6,0,5,2018-01-06,0.708333,1020.00952,17,0,2018-01-06 17:00:00
5.75,5.791667,36.4,0,0.5,0,5,2018-01-06,0.75,1080.01,18,0,2018-01-06 18:00:00
5.791667,5.833333,36.6,0,0.7,0,5,2018-01-06,0.791667,1140.01048,19,0,2018-01-06 19:00:00
5.833333,5.875,37.4,0,0.3,0,5,2018-01-06,0.833333,1200.00952,20,0,2018-01-06 20:00:00
5.875,5.916667,37.2,0,0.4,0,5,2018-01-06,0.875,1260.01,21,0,2018-01-06 21:00:00
5.916667,5.958333,37.3,0,0.6,0,5,2018-01-06,0.916667,1320.01048,22,0,2018-01-06 22:00:00
5.958333,6,37.2,0,0.4,0,5,2018-01-06,0.958333,1380.00952,23,0,2018-01-06 23:00:00
6,6.041667,37,0,0.5,0,6,2018-01-07,0,0.01,0,0,2018-01-07 00:00:00
6.041667,6.083333,36.9,0,0.7,0,6,2018-01-07,0.0416670000000003,60.0104800000005,1,0,2018-01-07 01:00:00
6.083333,6.125,36.8,0,0.5,0,6,2018-01-07,0.0833329999999997,120.00952,2,0,2018-01-07 02:00:00
6.125,6.166667,37.6,0,0.5,0,6,2018-01-07,0.125,180.01,3,0,2018-01-07 03:00:00
6.166667,6.208333,37.2,0,0.7,0,6,2018-01-07,0.166667,240.01048,4,0,2018-01-07 04:00:00
6.208333,6.25,37.8,0,0.8,0,6,2018-01-07,0.208333,300.009519999999,5,0,2018-01-07 05:00:00
6.25,6.291667,37.3,0,0.8,0,6,2018-01-07,0.25,360.01,6,0,2018-01-07 06:00:00
6.291667,6.333333,37.4,0,0.6,0,6,2018-01-07,0.291667,420.01048,7,0,2018-01-07 07:00:00
6.333333,6.375,37.4,0,0.5,0,6,2018-01-07,0.333333,480.009519999999,8,0,2018-01-07 08:00:00
6.375,6.416667,39.3,0.39,5.5,0.39,6,2018-01-07,0.375,540.01,9,0,2018-01-07 09:00:00
6.416667,6.458333,37.9,0,0.5,0,6,2018-01-07,0.416667,600.01048,10,0,2018-01-07 10:00:00
6.458333,6.5,38.7,0,0.3,0,6,2018-01-07,0.458333,660.009519999999,11,0,2018-01-07 11:00:00
6.5,6.541667,38.3,0,0.4,0,6,2018-01-07,0.5,720.01,12,0,2018-01-07 12:00:00
6.541667,6.583333,38.5,0,0.5,0,6,2018-01-07,0.541667,780.01048,13,0,2018-01-07 13:00:00
